loan_amnt,term,int_rate,installment,grade,sub_grade,home_ownership,annual_inc,issue_d,loan_status,purpose,addr_state,dti,delinq_2yrs,inq_last_6mths,total_pymnt,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,pub_rec_bankruptcies,year,is_default,outstanding_principal,net_credit_loss,risk_segment,risk_adjusted_revenue,income_group,dti_group
8000, 36 months,11.99,265.68,C,C1,RENT,49000.0,2016-03-01,Fully Paid,vacation,MD,14.74,0.0,1.0,9135.465356498,8000.0,1135.47,0.0,0.0,0.0,2016,0,0.0,0.0,Medium Risk,1135.47,40k-80k,10-20
30575, 36 months,11.99,1015.39,B,B5,MORTGAGE,150000.0,2017-08-01,Current,debt_consolidation,NY,24.09,1.0,0.0,18256.65,13923.4,4333.25,0.0,0.0,0.0,2017,0,16651.6,0.0,Medium Risk,4333.25,120k-200k,20-30
35000, 36 months,13.98,1195.88,C,C3,MORTGAGE,135000.0,2014-08-01,Fully Paid,credit_card,NH,14.58,1.0,1.0,39369.27,35000.0,4369.27,0.0,0.0,0.0,2014,0,0.0,0.0,Medium Risk,4369.27,120k-200k,10-20
3000, 36 months,12.74,100.71,C,C1,MORTGAGE,30000.0,2016-10-01,Fully Paid,debt_consolidation,CA,26.08,0.0,2.0,3144.9246768869,3000.0,144.92,0.0,0.0,0.0,2016,0,0.0,0.0,Medium Risk,144.92,<40k,20-30
35000, 36 months,12.99,1179.12,C,C2,MORTGAGE,200000.0,2016-05-01,Current,small_business,FL,13.78,1.0,0.0,38885.7,31537.88,7347.82,0.0,0.0,0.0,2016,0,3462.119999999999,0.0,Medium Risk,7347.82,120k-200k,10-20
9600, 36 months,7.89,300.35,A,A5,MORTGAGE,62400.0,2015-06-01,Fully Paid,debt_consolidation,AZ,22.62,0.0,1.0,10808.0740678136,9600.0,1208.07,0.0,0.0,0.0,2015,0,0.0,0.0,Low Risk,1208.07,40k-80k,20-30
12000, 36 months,5.32,361.38,A,A1,OWN,48000.0,2016-05-01,Charged Off,small_business,AR,19.78,0.0,2.0,5425.91,3789.68,543.33,0.0,1092.9,0.0,2016,1,8210.32,7117.42,Low Risk,-6574.09,40k-80k,10-20
30000, 60 months,18.99,778.06,D,D3,RENT,60000.0,2016-12-01,Current,debt_consolidation,CA,12.61,1.0,0.0,20197.91,9662.81,10535.1,0.0,0.0,0.0,2016,0,20337.190000000002,0.0,High Risk,10535.1,40k-80k,10-20
12000, 36 months,8.24,377.37,B,B1,MORTGAGE,310000.0,2017-03-01,Fully Paid,other,UT,15.98,0.0,1.0,12836.632168131,12000.0,836.63,0.0,0.0,0.0,2017,0,0.0,0.0,Low Risk,836.63,200k+,10-20
20000, 60 months,22.39,556.83,E,E1,MORTGAGE,40000.0,2016-07-01,Current,debt_consolidation,TN,34.41,1.0,0.0,17211.97,7614.15,9597.82,0.0,0.0,1.0,2016,0,12385.85,0.0,High Risk,9597.82,<40k,30-40
20000, 36 months,13.35,677.26,C,C2,MORTGAGE,120000.0,2014-10-01,Fully Paid,credit_card,CA,18.38,0.0,1.0,24351.497285066,20000.0,4351.5,0.0,0.0,0.0,2014,0,0.0,0.0,Medium Risk,4351.5,80k-120k,10-20
9000, 36 months,7.97,281.91,A,A5,RENT,75000.0,2017-06-01,Current,debt_consolidation,OK,15.5,0.0,0.0,5634.22,4734.51,899.71,0.0,0.0,0.0,2017,0,4265.49,0.0,Low Risk,899.71,40k-80k,10-20
8000, 36 months,11.99,265.68,C,C1,RENT,24000.0,2015-12-01,Charged Off,debt_consolidation,FL,9.35,0.0,1.0,3765.08,2355.62,827.21,0.0,582.25,0.0,2015,1,5644.38,5062.13,Medium Risk,-4234.92,<40k,0-10
20150, 60 months,18.25,514.43,E,E1,RENT,60000.0,2015-06-01,Current,debt_consolidation,VA,20.32,0.0,0.0,22629.59,12891.09,9738.5,0.0,0.0,0.0,2015,0,7258.91,0.0,High Risk,9738.5,40k-80k,20-30
12000, 60 months,10.42,257.46,B,B3,MORTGAGE,70000.0,2017-12-01,Current,debt_consolidation,SC,35.71,0.0,0.0,3590.55,2271.05,1319.5,0.0,0.0,1.0,2017,0,9728.95,0.0,Low Risk,1319.5,40k-80k,30-40
16000, 36 months,7.69,499.1,A,A4,MORTGAGE,90000.0,2014-10-01,Fully Paid,debt_consolidation,TX,9.35,1.0,0.0,17925.7958430384,16000.0,1925.8,0.0,0.0,0.0,2014,0,0.0,0.0,Low Risk,1925.8,80k-120k,0-10
8000, 36 months,13.67,272.15,C,C4,RENT,70000.0,2015-12-01,Charged Off,debt_consolidation,NY,10.53,1.0,0.0,831.15,549.26,281.89,0.0,0.0,0.0,2015,1,7450.74,7450.74,Medium Risk,-7168.849999999999,40k-80k,10-20
12000, 36 months,6.24,366.37,A,A2,MORTGAGE,52000.0,2015-11-01,Fully Paid,credit_card,NJ,15.81,0.0,1.0,13202.1833060005,12000.0,1202.18,0.0,0.0,1.0,2015,0,0.0,0.0,Low Risk,1202.18,40k-80k,10-20
28000, 36 months,5.32,843.22,A,A1,OWN,131389.0,2016-02-01,Current,credit_card,IN,10.31,0.0,0.0,30347.401541914,28000.0,2347.4,0.0,0.0,0.0,2016,0,0.0,0.0,Low Risk,2347.4,120k-200k,10-20
6125, 36 months,15.05,212.48,C,C4,RENT,60000.0,2017-08-01,Current,debt_consolidation,FL,9.62,1.0,0.0,4783.68,3775.58,1008.1,0.0,0.0,0.0,2017,0,2349.42,0.0,High Risk,1008.1,40k-80k,0-10
8000, 36 months,10.99,261.88,B,B4,RENT,145000.0,2016-07-01,Fully Paid,debt_consolidation,MD,10.73,0.0,0.0,8837.9414949844,8000.0,837.94,0.0,0.0,1.0,2016,0,0.0,0.0,Low Risk,837.94,120k-200k,10-20
10000, 36 months,8.39,315.17,B,B1,RENT,60000.0,2016-05-01,Current,credit_card,IL,25.2,0.0,0.0,10391.29,9067.72,1323.57,0.0,0.0,0.0,2016,0,932.2800000000007,0.0,Low Risk,1323.57,40k-80k,20-30
14000, 60 months,10.99,304.33,B,B4,MORTGAGE,43000.0,2016-08-01,Fully Paid,credit_card,PA,28.72,0.0,1.0,16637.4726491716,14000.0,2637.47,0.0,0.0,1.0,2016,0,0.0,0.0,Low Risk,2637.47,40k-80k,20-30
24000, 36 months,10.49,779.95,B,B3,RENT,50000.0,2016-07-01,Fully Paid,debt_consolidation,NY,32.84,0.0,1.0,27838.5782976897,24000.0,3838.58,0.0,0.0,0.0,2016,0,0.0,0.0,Low Risk,3838.58,40k-80k,30-40
7000, 36 months,8.24,220.14,B,B1,MORTGAGE,55700.0,2017-01-01,Fully Paid,credit_card,IL,7.28,0.0,0.0,7788.0783260102,7000.0,788.08,0.0,0.0,0.0,2017,0,0.0,0.0,Low Risk,788.08,40k-80k,0-10
10000, 60 months,18.55,256.94,E,E2,MORTGAGE,27000.0,2015-10-01,Charged Off,debt_consolidation,KS,14.13,0.0,0.0,5145.74,1840.87,2314.16,0.0,990.71,0.0,2015,1,8159.13,7168.42,High Risk,-4854.26,<40k,10-20
8000, 36 months,14.99,277.29,C,C4,OWN,32400.0,2017-01-01,Charged Off,debt_consolidation,TX,4.85,0.0,0.0,4365.7,2486.61,1104.84,0.0,774.25,0.0,2017,1,5513.389999999999,4739.139999999999,High Risk,-3634.2999999999993,<40k,0-10
4025, 36 months,14.49,138.53,C,C4,RENT,103000.0,2014-07-01,Fully Paid,debt_consolidation,CA,8.85,0.0,0.0,4398.49,4025.0,373.49,0.0,0.0,0.0,2014,0,0.0,0.0,Medium Risk,373.49,80k-120k,0-10
6200, 36 months,11.99,205.9,B,B5,MORTGAGE,103000.0,2017-08-01,Fully Paid,credit_card,MD,11.69,0.0,0.0,6709.7724021324,6200.0,509.77,0.0,0.0,0.0,2017,0,0.0,0.0,Medium Risk,509.77,80k-120k,10-20
11575, 60 months,22.9,325.65,E,E4,MORTGAGE,35000.0,2013-12-01,Charged Off,debt_consolidation,IN,7.27,0.0,0.0,9068.77,3662.22,3949.76,16.28,1440.51,0.0,2013,1,7912.780000000001,6472.27,High Risk,-2522.51,<40k,0-10
13000, 36 months,10.99,425.55,B,B2,MORTGAGE,70000.0,2014-03-01,Fully Paid,debt_consolidation,TX,22.93,1.0,2.0,15297.58,13000.0,2297.58,0.0,0.0,0.0,2014,0,0.0,0.0,Low Risk,2297.58,40k-80k,20-30
22800, 36 months,10.99,746.34,B,B4,MORTGAGE,57000.0,2015-09-01,Fully Paid,credit_card,OH,22.17,0.0,0.0,26491.5525180805,22800.0,3691.55,0.0,0.0,0.0,2015,0,0.0,0.0,Low Risk,3691.55,40k-80k,20-30
16000, 36 months,9.49,512.46,B,B2,RENT,81000.0,2016-08-01,Current,debt_consolidation,LA,5.1,0.0,0.0,15365.36,13008.88,2356.48,0.0,0.0,0.0,2016,0,2991.120000000001,0.0,Low Risk,2356.48,80k-120k,0-10
9600, 36 months,13.99,328.06,C,C4,RENT,36400.0,2015-02-01,Fully Paid,debt_consolidation,TX,20.11,0.0,0.0,10474.1991108098,9600.0,874.2,0.0,0.0,0.0,2015,0,0.0,0.0,Medium Risk,874.2,<40k,20-30
12000, 60 months,9.93,254.56,B,B2,MORTGAGE,7692.0,2017-11-01,Current,debt_consolidation,OH,24.65,0.0,0.0,3825.02,2468.76,1356.26,0.0,0.0,0.0,2017,0,9531.24,0.0,Low Risk,1356.26,<40k,20-30
15000, 36 months,13.35,507.95,C,C2,MORTGAGE,72000.0,2014-10-01,Fully Paid,major_purchase,AR,23.45,0.0,0.0,17428.13,15000.0,2428.13,0.0,0.0,0.0,2014,0,0.0,0.0,Medium Risk,2428.13,40k-80k,20-30
16000, 60 months,11.44,351.4,B,B4,MORTGAGE,48000.0,2014-11-01,In Grace Period,credit_card,GA,23.98,0.0,0.0,17557.66,12460.95,5096.71,0.0,0.0,0.0,2014,0,3539.0499999999993,0.0,Medium Risk,5096.71,40k-80k,20-30
